Name,State,Value,Number_of_Observations_POR,Percentile_POR
Trial Lake,UT,10.9,46,26.08695652173913
Parker Peak,WY,17.8,43,86.04651162790698
Myrtle Creek,ID,1.6,21,4.761904761904762
Sunset,ID,6.3,42,0.0
Beaver Ck Village,CO,3.4,21,0.0
Tahoe City Cross,CA,3.4,43,16.27906976744186
Lucky Strike,OR,1.1,46,2.1739130434782608
Grizzly Peak,CO,6.4,44,9.090909090909092
Blind Bull Sum,WY,16.4,44,63.63636363636363
Little Grassy,UT,0.0,39,12.82051282051282
Twin Lakes,MT,20.9,57,17.543859649122805
Tony Grove Lake,UT,19.4,46,36.95652173913043
Upper Rio Grande,CO,1.8,38,13.157894736842104
Crow Creek,WY,0.2,21,0.0
Calvert Creek,MT,5.4,49,42.857142857142854
Green Mountain,NV,3.5,44,0.0
Ebbetts Pass,CA,13.6,46,23.91304347826087
